"","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"7712",7712,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172305580032,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pratibha_badal",71,TRUE,FALSE,NA,NA
"7713",7713,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172221800448,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pathak_samiksha",71,TRUE,FALSE,NA,NA
"7714",7714,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172196601856,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Param94Umi",71,TRUE,FALSE,NA,NA
"7715",7715,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172184002560,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Param74Patel",71,TRUE,FALSE,NA,NA
"7716",7716,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172175663104,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","param83_hema",71,TRUE,FALSE,NA,NA
"7717",7717,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172095979520,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","param59_sonam",71,TRUE,FALSE,NA,NA
"7718",7718,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172070805504,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","pande_sonakshi",71,TRUE,FALSE,NA,NA
"7719",7719,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172049723392,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","nilima_rao",71,TRUE,FALSE,NA,NA
"7720",7720,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172041342976,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","Nilu_varma",71,TRUE,FALSE,NA,NA
"7721",7721,"RT @RutujaShastri: Shop for best product!!! Yes, shop at https://t.co/zPHPVtlExb.
#MumbaiRains
Murali Vijay
Sri Aurobindo
Audio From Tomorr<U+00E2><U+20AC><U+00A6>",FALSE,0,NA,"2017-12-05 05:18:58",FALSE,NA,937914172020424704,NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","NilimaSuratkar",71,TRUE,FALSE,NA,NA
